         1          1        300
         1          1       3671
         1          1       6817
         1          1       8893
         1          1       9145
         1          1      10294
         1          1      12763
         1          1      12850
         1          1      15907
         1          1      30037
         1          1      32192
         1          1      35593
         1          1      35780
         1          1      37680
         1          1      40076
         1          1      42739
         1          1      46867
         2          2       6686
         2          2       9062
         2          2      13707
         2          2      14862
         2          2      18596
         2          2      23790
         2          2      24082
         2          2      24160
         2          2      25493
         2          2      30037
         2          2      30830
         2          2      39673
         2          2      40507
         2          2      45753
         2          2      47668
         2          2      47990
         2          2      48281
         2          2      49415
         2          2      51207
         2          2      51732
         2          2      53710
         2          2      55232
         3          3       1405
         3          3       2912
         3          3       3667
         3          3       4341
         3          3       9355
         3          3      20657
         3          3      25522
         3          3      27901
         3          3      28331
         3          3      29285
         3          3      36859
         3          3      39386
         3          3      41117
         3          3      41754
         3          3      42549
         3          3      43554
         3          3      44565
         3          3      47376
         3          3      49327
         3          3      49482
         3          3      52773
         3          3      56677
         4          4        335
         4          4        816
         4          4       2743
         4          4       2760
         4          4       6563
         4          4       6719
         4          4      11914
         4          4      19607
         4          4      22023
         4          4      24927
         4          4      25231
         4          4      26274
         4          4      30598
         4          4      35043
         4          4      39145
         4          4      41899
         4          4      50670
         4          4      57448
         4          4      57519
         5          5       5899
         5          5       8243
         5          5      12470
         5          5      18228
         5          5      18521
         5          5      19294
         5          5      24622
         5          5      39548
         5          5      43295
         6          6       1321
         6          6       1462
         6          6       3175
         6          6       4911
         6          6       7059
         6          6      13411
         6          6      21411
         6          6      21694
         6          6      22090
         6          6      25619
         6          6      25821
         6          6      25846
         6          6      26067
         6          6      31342
         6          6      31595
         6          6      35425
         6          6      38759
         6          6      40528
         6          6      41427
         6          6      41857
         6          6      42625
         6          6      49438
         6          6      51832
         6          6      53183
         6          6      55588
         7          7       1096
         7          7       5365
         7          7       7405
         7          7      10254
         7          7      16492
         7          7      17817
         7          7      18379
         7          7      19660
         7          7      20289
         7          7      33024
         7          7      35029
         7          7      41130
         7          7      42781
         7          7      46337
         7          7      52794
         7          7      54537
         7          7      56402
         8          8       4245
         8          8      10343
         8          8      11603
         8          8      12149
         8          8      17523
         8          8      18725
         8          8      19520
         8          8      22638
         8          8      22664
         8          8      23414
         8          8      25892
         8          8      27286
         8          8      29609
         8          8      34091
         8          8      35220
